Time, Request, Key, Value
0, fetch, 565
437, fetch, 999
1390, fetch, 222
1805, fetch, 650
2183, fetch, 25
2506, fetch, 114
3342, fetch, 752
3814, fetch, 107
4703, fetch, 67
5022, update, 741, hy529t
5233, fetch, 773
6121, fetch, 867
6419, fetch, 716
6611, fetch, 544
6916, fetch, 728
7915, fetch, 699
8879, fetch, 857
9683, update, 458, 6xyvmL
10014, fetch, 133
10348, fetch, 756
11286, fetch, 422
11497, fetch, 762
12356, update, 634, RTg64q
13323, fetch, 931
13802, fetch, 527
14497, fetch, 878
15177, fetch, 204
15945, fetch, 628
16691, fetch, 601
17605, fetch, 405
18564, fetch, 811
19193, fetch, 29
20015, fetch, 551
20334, fetch, 327
21243, fetch, 260
21617, fetch, 928
21987, fetch, 335
22876, fetch, 253
23382, fetch, 914
23698, fetch, 982
24611, fetch, 564
24796, fetch, 651
25047, fetch, 430
25620, fetch, 770
26476, fetch, 941
27148, fetch, 157
27989, fetch, 401
28385, update, 597, cQLvJQ
28679, update, 122, kTfHvZ
29301, fetch, 14
30087, fetch, 527
31071, fetch, 907
31907, fetch, 221
32426, fetch, 832
32760, fetch, 194
32932, fetch, 400
33598, fetch, 753
34416, update, 732, auj6aw
35127, fetch, 479
35629, fetch, 455
36518, update, 481, VgaDeI
37506, fetch, 26
38123, fetch, 656
38934, fetch, 948
39754, fetch, 932
40437, fetch, 2
40683, fetch, 665
41218, fetch, 538
42113, fetch, 436
42274, fetch, 8
42667, fetch, 231
43385, fetch, 725
44336, fetch, 818
44903, fetch, 736
45168, fetch, 850
45556, fetch, 811
46425, fetch, 634
47148, fetch, 299
48030, fetch, 48
48241, fetch, 713
48916, fetch, 46
49144, fetch, 418
49513, fetch, 183
50467, fetch, 88
50976, update, 149, umYx16
51196, fetch, 90
51507, fetch, 107
52138, fetch, 711
52723, fetch, 443
53218, fetch, 27
54060, fetch, 776
55041, fetch, 784
55498, fetch, 774
55946, update, 254, T188l9
56806, fetch, 894
57328, fetch, 701
57758, fetch, 215
58737, fetch, 527
58877, fetch, 866
59035, fetch, 271
